works great installed tv one state watch another state,5,1
got these son uses every day likes being able walk around not tied down wires,4,1
like headphones especially bluetooth feature sound really good use between classes studying also can use driving,4,1
great product double ram macbook pro,5,-1
typing wonderful travel briefly bluntly return trip love new fn key layout eg can one hand press ctrlfnf4 close windows fnfany other programs software definitively better tuned tablet mode keyboard changes more diligently than first gen type cover trackpad definitively better responds weird certain software mostly win32 apps lot scrolling history performance wonky still think windows need several performance improvements while drawing graphics slow choppy surface pro 3 expect less delays further builds,4,-1
bought these replace ear type love sizefeatures sound quality cannot go wrong price,5,1
read review amazon should taken advice stops working time too late return bb so mfg sent replacement same thing stops working now mfg give credit more expensive set same mfg thats like throwing more product well still stop working way bb no help product,1,1
good signal works great very useful device helps lot,5,1
read every review went bw reputation definitely deliver love these cans sound these so good dont want take off fit good took week wearing break favorite headphones worth every penny,5,1
good keyboard fingerprint scanner does not work sp3,4,-1
love microsoft surface pro 4 fingerprint cover easy set up works great surface pro 4 read reviews took chance little pricey well worth would recommend thanks best buy,5,-1
fingerprint reader cool option reason bit stronger than original keyboard like surface typing mobile has pain helps,4,-1
about purchase new mac looked into upgrading ram runs just like laptop,5,-1
purchased everest elite 700 took home then started noticing problems immediately1st fit test caused loud squeal left earcup speaker into earthats cheap noise cancellation headphone problem other expensive bluetooth headphones do not do does yours do jbl2nd wanted fold used headphone after portability test opened use again experienced loud crackling left earcup until powered off headphones3rd jbl phone app doesnt keep connected headphone even bt connection active could not test functionality jbl app because app disconnecting4th everest elite 700 doesnt like living loud either wanted try full volume phone headphone volume thru bluetooth connection didnt like starting withaudible popping random intervals during music playbackeven b3ats stud1o wireless does much better than these almost same pricetageven turtle beach el1te 800 800x do better more functionalitybad show jbl,1,1
need keyboard tablet finger print makes life so much easier,5,-1
am using headphones monitor work am doing garageband am editing bands practice digital recordings looking phones would not color sound these very good,5,1
headphone experience higly dependent personal sound preferencesthese fit mine like glove easy listen range music 2 more hours without tiring sound discomforti compared these sennheiser momentum denon ahd600 bw p3 p5 akg andbose qc25 music ranged herbert mann john coltrane 9inch nails herbert hancock traffic supertramp bach concierto nora jones these won every round best performance combined bassmidrangetreble performance piano femalemale vocals sax acoustic electric guitar bass guitar full percussion easy discern instruments bach conciertojust phenomenal music flac files home travel experience after 4 weeks remains excellentbuild quality design superb these definitely worth trial against favorites may these very efficient approx 25 ohms equally perfect dapmobile devices hdmusic file formats home systems,5,1
easy attach tablet good size keys finger print id good idea,5,-1
own quite different speakers portable bluetooth speakers home speakers integrated voice assistants ue megablast tries jack trades falls bit shortunboxingthe unboxing experience simple pleasant without getting into too much detail packaging youre greeted speaker highquality flat microusb cable ac adapter can also purchase charging dock separately allow drop megablast onto dock charging without fiddling cables additionally can continue use megablast while chargingsetupto setup megablast downloaded ultimate ears app smartphone opened up after ensuring bluetooth enabled smartphone turned megablast can pair using app phones pairing menu after pairing over bluetooth app continue setup processthe wifi connectivity setup process simple only if home network situation typical ultimate ears recommends having separate ssids each network eg mywifi 24ghz mywifi 5ghz so megablast doesnt get confused during setup found following recommendation led successful setup wifi connectivity after selecting network entering password youre also given opportunity login amazon alexa voice assistant functionality app also install firmware updates during processapponce setup complete app very simple ability turn off microphone alexa work ability see battery status wifi connection status bluetooth connection status alexa signin status also ability switch wifi networks switch amazon accounts alexa integration unpairforget megablast lastly can change idletime before shutdown speaker language toggle firmware autoupdatesmegablast hardwarethe megablast pretty simple has power button led pairing button volume downup buttons course 360 degree sound people love so much paired ip67 water resistance rating splashes even bit submersion however does not 35mm jack—a feature found smaller ue boomaudio qualitylike boom speakers preceded megablast has sparkly highs clear midrange punchy bass however megablast starts fall short highest volumes compression kicks prevent clippingdistortion bass frequencies due fact eq really pushes bass megablast like other bluetooth speaker can only physically handle so much—so prevent damage compresses bass certain threshhold happens bass sounds either anaemic uncontrolled do want stress happens most portable bluetooth speakers megablast far worst themdespite if youre listening spacious dynamic music then megablast sound fantastic most volumes gotten chance listen progressive rock metal acoustic swing jazz big band jazz edm more music more dynamic instrumentation really shines megablast music constantly hot master may start lose clarity megablast set highest volumes overall excellent listening experiencealexa integrationim not fan alexa personally find switching between bluetooth alexa not seamless once call out alexa megablast disconnects bluetooth so pair phone again if want use despite can use alexa limited number unpopular streaming services can control alexas volume not bluetooth volume also cant ask battery status using alexa helps think alexa standalone assistant knows nothing existent megablast using alexa megablast irrelevant only knows whatever alexa knows can only do whatever alexa can do—except stream spotify reason so lesson if using alexa dont expect bluetooth connectivity resume just stick alexas amazon music iheartradio tunein streaming over wifi oh just so were clear alexa only works over wificonclusion final thoughtsso worth price im not sure own portable bluetooth speakers same price range megablast packs better sound more volume alexa integration halfbaked missing integrated voice tells battery status hold both volume up down buttons same time top cant do party mode multiple megablasts cant do remote power cant change eq these features smaller ue boom so im rather confused these features arent available megablast if youre buying speaker alexa integration forget if want great bluetooth speaker missing features compared smaller siblings could one rock parties,3,1
had surface pro 4 since beginning 2016 had type cover 2 months absolutely love combination wanted type cover because use surface board meetings court rooms important present classy professional appearance type cover has great feel looks great,5,-1
love love love these speakers sound so clear put sony amp system awesome,5,1
good sound fill small room not bass heavy bose soundlink sound little distorted max volume great features using songpal app allows connection wifi bluetooth occasional issues trying reconnect speaker computer phone via bluetooth,3,1
works very well video quality very good very easy setup thanks slingbox,5,1
